# NFT Dataset for azuki
# Generated: 2025-06-12 14:01:37
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|8.932109|2664.41|119863.88
2025-03-15|7.372982|2800.07|107894.22
2025-03-16|7.726273|4080.24|73163.54
2025-03-17|7.660917|2159.93|73617.86
2025-03-18|8.856444|10586.57|131592.44
2025-03-19|12.970180|8538.53|140758.81
2025-03-20|11.304661|733.70|92103.60
2025-03-21|9.236649|2772.36|128486.49
2025-03-22|13.760061|10027.24|131423.98
2025-03-23|11.092915|1175.92|103118.63
2025-03-24|12.138088|3778.43|171880.85
2025-03-25|10.792067|1055.47|128458.04
2025-03-26|12.176422|3525.59|129459.86
2025-03-27|13.980978|2846.10|114334.64
2025-03-28|12.787352|57567.58|189582.54
2025-03-29|13.794530|1982.02|131080.73
2025-03-30|11.912784|5740.60|152187.81
2025-03-31|14.547788|3243.03|217171.64
2025-04-01|11.762598|1324.67|146597.55
2025-04-02|11.109647|3578.63|122442.62
2025-04-03|11.147710|7994.51|160694.98
2025-04-04|8.190784|2956.54|69609.79
2025-04-05|7.558345|4253.14|90675.13
2025-04-06|8.811841|17487.28|128506.25
2025-04-07|11.484472|7205.05|163869.32
2025-04-08|7.373669|3899.00|71488.91
2025-04-09|10.513568|2098.31|91408.20
2025-04-10|10.165565|4699.86|99065.56
2025-04-11|9.634494|2290.91|111178.81
2025-04-12|7.824734|1049.21|79878.79
2025-04-13|6.351819|1503.03|94374.48
2025-04-14|9.511291|7290.49|89890.04
2025-04-15|8.306311|1343.23|83499.96
2025-04-16|9.141378|595.02|113848.55
2025-04-17|7.763264|17176.57|63793.31
2025-04-18|9.166677|1736.54|106508.98
2025-04-19|8.325931|1208.84|123683.72
2025-04-20|9.489714|6846.33|128723.12
2025-04-21|7.577060|8412.45|107899.71
2025-04-22|11.960098|24689.95|147316.44
2025-04-23|12.961487|5703.12|164795.57
2025-04-24|10.379135|1776.14|138357.97
2025-04-25|11.685324|2559.21|114837.67
2025-04-26|12.175381|2950.16|120845.92
2025-04-27|13.543141|750.36|133296.45
2025-04-28|10.940097|3895.58|88592.67
2025-04-29|15.170174|149.30|168050.69
2025-04-30|15.359271|653.27|220848.25
2025-05-01|16.180301|2468.74|183390.58
2025-05-02|15.982603|1397.57|145711.66
2025-05-03|17.393536|4380.03|148565.05
2025-05-04|16.204384|2457.79|153514.74
2025-05-05|17.402191|5753.11|163582.84
2025-05-06|15.010344|6730.82|123152.50
2025-05-07|17.190916|816.10|251234.57
2025-05-08|16.086383|772.23|218769.85
2025-05-09|16.220791|1626.38|236943.56
2025-05-10|17.883367|21568.19|147448.60
2025-05-11|14.980901|4999.78|170012.46
2025-05-12|16.035645|8507.13|162247.34
2025-05-13|15.047086|725.96|186146.55
2025-05-14|11.326564|5840.81|165793.75
2025-05-15|16.206038|391.38|214197.25
2025-05-16|14.286263|8045.86|204023.23
2025-05-17|19.931129|2821.10|296440.34
2025-05-18|14.189970|4415.54|209509.11
2025-05-19|15.936111|4897.62|207124.21
2025-05-20|18.421454|8489.41|173077.40
2025-05-21|13.399037|2230.03|136778.59
2025-05-22|14.589204|760.55|148596.62
2025-05-23|15.313509|5069.88|143764.75
2025-05-24|13.723296|24453.87|161359.13
2025-05-25|14.355408|4375.50|134482.61
2025-05-26|16.328350|1520.42|137234.98
2025-05-27|14.526654|13007.41|176302.48
2025-05-28|16.002397|1054.66|129226.35
2025-05-29|12.431382|2592.37|140586.09
2025-05-30|12.963226|414.21|115731.71
2025-05-31|14.634579|2398.70|149610.48
2025-06-01|11.521116|869.26|167749.65
2025-06-02|14.159278|174.48|161130.43
2025-06-03|12.721233|709.74|160647.97
2025-06-04|14.311816|4132.90|189971.02
2025-06-05|15.192547|2795.08|164338.74
2025-06-06|14.937176|1009.70|178951.96
2025-06-07|18.617692|8293.82|162663.15
2025-06-08|16.872248|3953.84|137954.41
2025-06-09|16.192612|3099.65|239146.90
2025-06-10|17.112041|7118.83|254941.34
2025-06-11|19.967711|2591.84|229552.00
2025-06-12|19.767661|2655.31|191616.72
