# NFT Dataset for bored-ape-yacht-club
# Generated: 2025-06-12 14:01:41
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|10.471071|8070.46|147584.49
2025-03-15|8.886431|979.21|106412.63
2025-03-16|10.681838|1840.24|143826.74
2025-03-17|15.245358|5769.72|187993.45
2025-03-18|15.262226|19130.08|153390.20
2025-03-19|17.798542|201.38|168762.78
2025-03-20|17.404677|6876.05|172543.44
2025-03-21|16.856374|3546.82|217681.63
2025-03-22|12.810006|1575.49|173902.50
2025-03-23|16.127463|14680.05|191792.38
2025-03-24|15.396162|3765.73|200397.01
2025-03-25|17.709044|910.54|174233.93
2025-03-26|21.515608|567.46|281100.60
2025-03-27|17.155262|4571.52|214248.67
2025-03-28|22.415272|5005.40|269871.32
2025-03-29|19.563539|1030.10|289437.80
2025-03-30|18.482647|26031.93|209711.85
2025-03-31|17.624270|743.80|250543.25
2025-04-01|22.739107|1347.91|295928.27
2025-04-02|19.084553|2777.47|196670.15
2025-04-03|16.916767|3834.40|174957.43
2025-04-04|22.094082|2552.81|188344.26
2025-04-05|17.520616|2848.72|239293.57
2025-04-06|19.930831|2732.80|250960.49
2025-04-07|10.956514|7817.85|152915.20
2025-04-08|16.614960|3574.36|150237.55
2025-04-09|14.896048|2814.54|215842.12
2025-04-10|15.863996|3479.75|194673.74
2025-04-11|12.029646|2967.45|127920.16
2025-04-12|12.411679|1809.40|185794.65
2025-04-13|16.338698|10335.64|235266.02
2025-04-14|11.804081|7556.09|147740.39
2025-04-15|14.926444|510.73|146588.54
2025-04-16|11.345497|1387.44|159610.63
2025-04-17|11.332863|171.17|111494.37
2025-04-18|12.907460|3601.73|161359.21
2025-04-19|11.510187|560.43|154164.12
2025-04-20|11.905160|6961.98|108591.86
2025-04-21|15.277976|1251.78|227995.78
2025-04-22|15.315933|577.28|217178.49
2025-04-23|14.639580|4940.82|142838.33
2025-04-24|17.761762|1681.58|264261.86
2025-04-25|15.511742|1191.20|153350.82
2025-04-26|18.245179|6859.43|263933.09
2025-04-27|21.641248|1130.97|247275.22
2025-04-28|20.635185|4815.90|284579.61
2025-04-29|20.937655|3681.87|255933.28
2025-04-30|21.392549|584.13|228966.01
2025-05-01|23.222209|30623.97|203871.07
2025-05-02|24.998837|3130.76|223303.28
2025-05-03|27.470528|16562.10|299874.81
2025-05-04|23.039965|13401.30|273933.85
2025-05-05|25.287237|2512.58|249096.67
2025-05-06|22.093305|4310.62|232332.12
2025-05-07|27.257950|1081.61|288087.30
2025-05-08|23.610799|3148.61|288768.70
2025-05-09|29.061650|592.69|428236.89
2025-05-10|30.168390|649.82|371508.53
2025-05-11|27.870164|683.81|412935.16
2025-05-12|30.561128|1433.62|453640.35
2025-05-13|26.142329|1436.24|268786.49
2025-05-14|28.665717|888.71|429915.06
2025-05-15|28.112290|7406.59|313029.78
2025-05-16|29.365236|11310.32|255322.94
2025-05-17|29.317448|28578.08|317350.93
2025-05-18|24.116730|8317.77|292684.42
2025-05-19|27.569976|684.65|264478.18
2025-05-20|23.501206|516.47|191644.58
2025-05-21|27.580568|6810.11|403523.59
2025-05-22|23.197276|1546.87|325555.35
2025-05-23|22.194312|27355.19|190025.22
2025-05-24|20.833580|3571.66|244045.41
2025-05-25|23.743739|4373.49|342582.65
2025-05-26|19.764183|9665.98|258776.06
2025-05-27|19.818853|17317.13|180089.69
2025-05-28|20.673963|2758.25|297009.82
2025-05-29|21.804698|18315.18|224741.51
2025-05-30|23.061223|4095.51|195966.53
2025-05-31|21.578269|8816.99|184386.30
2025-06-01|21.532306|6760.12|303458.55
2025-06-02|19.237589|4717.12|236942.95
2025-06-03|20.182955|7695.34|256576.03
2025-06-04|22.791296|5083.29|196454.61
2025-06-05|22.362533|601.04|268676.64
2025-06-06|22.095505|1124.98|267214.15
2025-06-07|28.220761|3701.39|233966.32
2025-06-08|24.258152|11649.70|198407.40
2025-06-09|24.507490|10934.84|317149.73
2025-06-10|30.274671|3079.66|431686.99
2025-06-11|27.035418|2072.38|317508.78
2025-06-12|26.450953|16014.04|356908.06
