# NFT Dataset for cryptopunks
# Generated: 2025-06-12 14:01:33
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|70.877548|1855.24|934087.77
2025-03-15|63.351971|3721.48|741033.79
2025-03-16|70.549666|61.12|1043384.44
2025-03-17|57.400884|12797.65|563243.40
2025-03-18|85.833785|954.99|1137891.28
2025-03-19|72.885578|3205.02|666188.72
2025-03-20|77.792018|2000.14|761919.96
2025-03-21|86.556732|4053.50|789698.49
2025-03-22|69.911066|1539.45|776758.66
2025-03-23|100.579631|6538.85|808044.62
2025-03-24|82.264713|2512.93|894921.48
2025-03-25|79.453627|674.55|1188119.82
2025-03-26|75.797191|1803.24|952673.04
2025-03-27|81.947112|5679.56|999112.92
2025-03-28|74.841755|2055.99|701723.08
2025-03-29|76.323199|1387.83|782492.65
2025-03-30|72.799286|1678.78|934674.47
2025-03-31|71.691468|9512.74|819932.12
2025-04-01|80.327013|292.69|1047551.39
2025-04-02|84.360568|16109.37|1069937.32
2025-04-03|74.427369|565.44|1074509.79
2025-04-04|60.458993|4105.13|763504.19
2025-04-05|86.658820|3308.73|1183317.90
2025-04-06|78.156549|4504.05|635194.61
2025-04-07|63.213650|7751.45|618022.28
2025-04-08|79.026282|4906.48|871619.93
2025-04-09|63.497296|11017.48|734061.76
2025-04-10|63.435675|12325.09|674426.24
2025-04-11|61.396730|7320.32|565368.37
2025-04-12|69.263196|1438.30|898990.57
2025-04-13|60.302539|2528.10|614518.89
2025-04-14|69.669176|11741.63|837580.65
2025-04-15|68.129646|1520.75|890015.37
2025-04-16|70.623525|1940.02|941868.00
2025-04-17|53.687577|880.04|786087.68
2025-04-18|63.866850|1957.86|721711.61
2025-04-19|55.826373|9552.29|779021.85
2025-04-20|58.752293|3109.11|561277.11
2025-04-21|72.993342|10952.58|840394.39
2025-04-22|79.659234|1505.69|1156080.66
2025-04-23|77.454250|27384.27|947313.22
2025-04-24|75.338416|3091.42|898569.94
2025-04-25|76.296865|12706.95|642579.49
2025-04-26|69.566473|5379.99|559897.10
2025-04-27|91.235840|6799.22|902037.95
2025-04-28|85.816131|5326.10|1125904.81
2025-04-29|72.384125|8490.84|1053625.84
2025-04-30|83.567460|18929.49|1081871.23
2025-05-01|81.684412|1459.40|1126298.05
2025-05-02|82.754453|952.40|966911.42
2025-05-03|75.864877|11445.91|794091.90
2025-05-04|80.897666|2278.06|1209776.07
2025-05-05|103.922121|1342.91|1478755.94
2025-05-06|88.737379|443.21|757036.28
2025-05-07|97.862856|2889.96|824165.30
2025-05-08|88.912604|1069.49|952455.42
2025-05-09|85.124618|15358.48|1168454.42
2025-05-10|92.922466|1919.54|1246631.42
2025-05-11|94.580771|1696.92|774538.78
2025-05-12|83.773702|2242.71|1022157.83
2025-05-13|84.703774|563.20|678310.69
2025-05-14|101.824179|4826.36|1272130.77
2025-05-15|81.492783|583.91|1219268.30
2025-05-16|95.137233|9312.36|1256904.25
2025-05-17|92.237405|652.93|1076059.97
2025-05-18|97.674615|2027.58|1117419.37
2025-05-19|92.387719|16263.26|901859.13
2025-05-20|101.408880|1382.18|1413457.12
2025-05-21|89.984302|640.05|849586.76
2025-05-22|82.400880|3908.16|1226470.73
2025-05-23|70.224326|1288.62|635503.00
2025-05-24|92.623646|3337.20|1348501.38
2025-05-25|90.237960|2259.72|845766.23
2025-05-26|78.024338|3204.86|916664.83
2025-05-27|77.742942|4880.35|843319.91
2025-05-28|96.042438|1979.27|1239418.03
2025-05-29|81.121617|8512.39|910882.00
2025-05-30|79.931528|2929.25|903049.56
2025-05-31|82.637565|7281.66|828797.63
2025-06-01|82.010286|430.72|930030.87
2025-06-02|74.562694|2329.47|603309.26
2025-06-03|84.157683|16809.23|1231756.14
2025-06-04|84.103553|4583.28|991155.95
2025-06-05|85.572462|7503.39|1066101.68
2025-06-06|78.229657|3261.32|865762.48
2025-06-07|87.563582|6106.60|929257.73
2025-06-08|82.917460|4064.59|1013654.58
2025-06-09|96.509549|3856.58|1387809.55
2025-06-10|86.223318|3235.83|1228487.86
2025-06-11|88.670611|4794.05|1041866.03
2025-06-12|102.871836|1387.38|1008922.78
