# NFT Dataset for mutant-ape-yacht-club
# Generated: 2025-06-12 14:01:45
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|6.009400|529.14|51099.55
2025-03-15|6.364462|3165.26|60969.52
2025-03-16|7.361174|4162.22|108790.58
2025-03-17|6.269003|413.25|71089.34
2025-03-18|7.607874|2997.87|93703.14
2025-03-19|7.785968|10193.85|109009.51
2025-03-20|6.747011|1886.15|74759.10
2025-03-21|8.424899|2824.10|102228.45
2025-03-22|9.821792|1667.91|109616.25
2025-03-23|9.397880|8361.14|107803.31
2025-03-24|8.718643|4934.54|80333.95
2025-03-25|8.918281|550.77|132475.42
2025-03-26|10.948041|1175.37|155771.31
2025-03-27|8.135125|11863.79|107111.79
2025-03-28|10.043579|21796.91|125724.45
2025-03-29|7.038153|26595.06|60531.65
2025-03-30|5.946485|7343.46|64005.22
2025-03-31|9.552357|1574.80|108974.54
2025-04-01|10.133994|3120.98|113954.77
2025-04-02|9.064841|2544.87|91915.70
2025-04-03|9.332762|4592.42|98216.71
2025-04-04|8.549939|4509.24|91818.33
2025-04-05|8.484993|412.36|92999.82
2025-04-06|7.114132|258.93|104203.18
2025-04-07|6.921381|1947.66|75773.79
2025-04-08|4.846891|3202.58|53878.56
2025-04-09|5.200922|8858.49|75389.14
2025-04-10|5.715768|2125.94|59907.08
2025-04-11|5.950952|1177.77|68234.69
2025-04-12|4.871101|2238.41|61395.55
2025-04-13|3.724394|1486.18|34216.37
2025-04-14|7.396822|214.06|79355.76
2025-04-15|4.440335|1860.61|49682.02
2025-04-16|5.462456|2826.12|44071.19
2025-04-17|4.184389|20453.44|49327.68
2025-04-18|5.751434|1245.38|78339.65
2025-04-19|4.596344|3266.33|59565.50
2025-04-20|7.085580|803.08|96132.26
2025-04-21|7.758735|1767.29|90424.58
2025-04-22|7.396440|2884.86|73578.69
2025-04-23|6.202031|1051.16|68227.17
2025-04-24|7.636237|3127.54|66320.94
2025-04-25|6.620816|1651.44|63223.86
2025-04-26|6.742477|4473.77|67516.54
2025-04-27|8.758508|2137.81|76767.67
2025-04-28|9.327353|4661.98|117849.66
2025-04-29|13.169422|978.04|162079.71
2025-04-30|11.708948|2778.59|120539.63
2025-05-01|10.432970|5444.71|128629.80
2025-05-02|12.677726|1363.15|103637.77
2025-05-03|13.191826|2705.59|118444.22
2025-05-04|12.465499|9140.12|117909.21
2025-05-05|13.659601|717.62|169972.62
2025-05-06|13.402792|3567.29|182790.69
2025-05-07|15.400338|7080.52|215483.20
2025-05-08|15.748805|14774.26|224288.68
2025-05-09|12.444499|1823.63|121235.12
2025-05-10|14.164536|9539.91|176869.87
2025-05-11|15.921830|226.81|199518.46
2025-05-12|16.421517|11078.23|209884.67
2025-05-13|14.257257|312.90|188818.08
2025-05-14|14.109509|2036.33|149676.22
2025-05-15|14.158739|3310.21|190947.91
2025-05-16|14.964880|3235.02|162295.82
2025-05-17|11.358512|1063.93|123577.19
2025-05-18|13.581880|5311.05|198576.45
2025-05-19|14.123073|2112.47|179147.31
2025-05-20|11.123580|4731.47|112933.22
2025-05-21|13.423342|2143.94|152470.30
2025-05-22|10.976828|1074.36|145905.40
2025-05-23|12.508750|1020.95|174912.85
2025-05-24|9.840919|179.82|112094.00
2025-05-25|9.620458|3983.47|110778.76
2025-05-26|10.994844|4330.70|147390.62
2025-05-27|10.028851|5408.08|99668.01
2025-05-28|9.941408|5294.90|118770.59
2025-05-29|10.307789|10229.20|144886.34
2025-05-30|11.901277|1502.23|109364.26
2025-05-31|12.754341|1763.23|186899.25
2025-06-01|9.172255|25830.67|100139.42
2025-06-02|10.837381|837.61|96109.03
2025-06-03|9.700826|726.89|136626.78
2025-06-04|10.860750|1113.18|136688.97
2025-06-05|11.529237|1813.00|141750.54
2025-06-06|11.926670|8023.05|96306.98
2025-06-07|13.904287|2279.88|131691.89
2025-06-08|12.240492|4453.17|120108.19
2025-06-09|13.423511|5527.77|150896.80
2025-06-10|13.149423|1403.33|106269.40
2025-06-11|14.831972|2183.48|208841.56
2025-06-12|14.201520|23503.13|157845.29
