# NFT Dataset for otherdeed-for-otherdeeds
# Generated: 2025-06-12 14:01:47
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|0.655597|992.37|8467.93
2025-03-15|1.509794|703.90|20709.95
2025-03-16|1.280370|5143.93|17380.34
2025-03-17|1.182644|1462.55|12395.79
2025-03-18|1.710479|2672.59|20927.66
2025-03-19|1.236334|2116.83|17676.78
2025-03-20|1.356852|646.73|12884.57
2025-03-21|1.521084|8899.96|16008.34
2025-03-22|1.432980|1072.73|15855.26
2025-03-23|1.670475|17820.70|23608.12
2025-03-24|2.019961|4631.97|17872.65
2025-03-25|1.561754|4395.57|21232.38
2025-03-26|2.144714|2945.55|20894.41
2025-03-27|1.856996|15162.94|20378.50
2025-03-28|1.911010|1749.68|21113.49
2025-03-29|2.068327|4390.09|18053.22
2025-03-30|2.007141|462.40|21705.01
2025-03-31|1.956708|5410.43|25008.18
2025-04-01|1.847368|44798.53|17150.47
2025-04-02|1.933185|196.09|20467.09
2025-04-03|1.785380|6742.00|21234.59
2025-04-04|1.569636|3373.10|18869.78
2025-04-05|1.668978|2176.43|23608.60
2025-04-06|1.392839|11420.42|19103.24
2025-04-07|1.485079|712.63|15607.39
2025-04-08|1.200825|6954.35|12603.14
2025-04-09|1.316224|8961.16|17652.06
2025-04-10|1.313099|2665.19|15319.57
2025-04-11|1.681658|2106.72|13573.51
2025-04-12|1.066142|1015.37|10509.21
2025-04-13|1.106695|3187.61|11707.73
2025-04-14|0.960677|973.55|12069.00
2025-04-15|1.337536|3941.20|17938.18
2025-04-16|1.381964|358.61|17139.36
2025-04-17|1.488186|2237.87|15156.92
2025-04-18|0.605335|431.50|8855.63
2025-04-19|1.362594|3939.04|11351.81
2025-04-20|0.960936|429.75|8417.79
2025-04-21|1.474617|3081.09|12601.95
2025-04-22|1.330648|7242.40|17723.52
2025-04-23|1.713119|6913.42|24610.04
2025-04-24|1.597201|1689.78|12896.69
2025-04-25|1.432912|17732.29|17152.67
2025-04-26|2.031024|1977.91|16332.66
2025-04-27|1.740332|713.59|17415.89
2025-04-28|1.885448|11516.17|23754.81
2025-04-29|2.027653|1535.10|29857.77
2025-04-30|2.035676|5576.50|17992.71
2025-05-01|2.454786|1947.16|21152.26
2025-05-02|1.958486|49145.15|23410.64
2025-05-03|2.827617|683.32|28676.91
2025-05-04|2.565638|1368.43|31419.30
2025-05-05|2.813858|4812.72|37618.41
2025-05-06|2.826087|20914.50|27953.68
2025-05-07|3.207169|21799.46|25754.17
2025-05-08|3.015124|356.86|38043.81
2025-05-09|2.376188|1619.83|21066.32
2025-05-10|2.885956|3503.28|39486.09
2025-05-11|2.929589|532.01|32381.69
2025-05-12|2.732590|1767.30|39547.27
2025-05-13|2.719676|5367.54|30231.65
2025-05-14|3.081451|10041.29|41846.72
2025-05-15|2.533187|1145.62|23416.40
2025-05-16|3.069209|10170.84|27300.55
2025-05-17|2.806737|4557.85|40897.13
2025-05-18|2.547239|4351.56|29564.74
2025-05-19|2.794772|42985.75|24790.39
2025-05-20|2.078559|1856.83|19554.35
2025-05-21|2.395535|505.39|30552.22
2025-05-22|2.839447|1664.81|30087.29
2025-05-23|1.963138|1688.49|27915.41
2025-05-24|1.889915|415.79|20793.84
2025-05-25|2.882641|2383.02|25517.01
2025-05-26|2.326657|2493.64|24512.50
2025-05-27|2.034172|246.12|18626.04
2025-05-28|2.179023|6866.14|28302.09
2025-05-29|2.331011|1979.97|28934.05
2025-05-30|2.406623|729.72|23479.31
2025-05-31|2.079873|5291.62|16695.01
2025-06-01|1.625655|2232.05|13206.93
2025-06-02|2.034175|1153.26|24055.82
2025-06-03|2.021415|4278.65|29306.98
2025-06-04|1.952400|3600.58|24176.32
2025-06-05|2.372614|25586.00|21369.77
2025-06-06|2.112702|10361.08|17692.81
2025-06-07|2.454924|4693.84|19858.68
2025-06-08|2.703668|5861.65|32554.39
2025-06-09|2.619601|2477.17|29102.26
2025-06-10|3.002564|11019.38|31452.91
2025-06-11|3.045675|5758.23|39261.03
2025-06-12|3.107879|311.22|31643.28
