# NFT Dataset for azuki
# Generated: 2025-06-12 13:25:58
# Total records: 91
# Format: DATE|FLOOR_PRICE|VOLUME|MARKET_CAP
#==================================================
2025-03-14|12.0540|2262.77|97598.46
2025-03-15|11.2449|8466.33|104295.93
2025-03-16|12.9619|2064.04|125132.93
2025-03-17|7.9718|3730.99|69914.75
2025-03-18|10.5397|4128.26|97166.52
2025-03-19|10.8779|5614.09|125224.54
2025-03-20|9.5613|3247.22|95506.85
2025-03-21|14.1272|2337.94|154783.70
2025-03-22|11.3519|3776.94|121985.55
2025-03-23|10.3410|9969.34|115808.69
2025-03-24|9.2336|2985.91|89973.30
2025-03-25|11.7685|7807.67|140366.80
2025-03-26|10.7436|1909.72|119732.65
2025-03-27|8.9606|8494.23|95135.52
2025-03-28|9.8639|9803.07|89364.62
2025-03-29|10.5879|2855.69|94956.31
2025-03-30|8.3646|1465.24|99067.06
2025-03-31|9.4302|7467.49|94639.11
2025-04-01|6.1367|3559.77|71395.28
2025-04-02|8.4075|8842.13|88778.66
2025-04-03|11.1828|6380.58|131363.59
2025-04-04|8.9860|8076.66|87844.35
2025-04-05|11.4635|9379.19|103686.76
2025-04-06|9.4576|6580.41|97850.01
2025-04-07|11.6354|9138.62|114756.91
2025-04-08|10.7572|4582.12|97776.31
2025-04-09|10.1257|8845.36|90307.95
2025-04-10|9.6347|6520.69|111462.63
2025-04-11|11.0480|2864.67|105326.67
2025-04-12|10.1001|9371.92|104616.57
2025-04-13|7.6298|2915.68|66050.50
2025-04-14|12.5645|4203.75|116948.40
2025-04-15|11.7075|1985.83|95421.50
2025-04-16|9.8159|8022.65|102504.62
2025-04-17|12.0769|9273.15|135469.03
2025-04-18|10.2997|8371.68|89601.68
2025-04-19|14.5389|3814.43|130032.02
2025-04-20|10.9832|5002.38|123687.50
2025-04-21|14.0663|6272.37|147413.94
2025-04-22|12.4223|5081.11|145004.08
2025-04-23|9.7239|3892.34|109450.84
2025-04-24|10.7589|7283.40|115861.67
2025-04-25|16.3441|5843.40|189009.58
2025-04-26|13.5086|7647.24|118759.95
2025-04-27|13.4848|9470.38|160442.01
2025-04-28|12.3476|3336.80|112666.96
2025-04-29|13.0704|9396.10|115126.61
2025-04-30|14.0846|5347.37|123064.45
2025-05-01|13.8559|9388.95|143068.04
2025-05-02|14.1263|9974.96|141541.62
2025-05-03|9.8686|8302.91|100528.75
2025-05-04|9.6242|2131.09|107715.13
2025-05-05|13.9346|2637.91|163294.88
2025-05-06|13.9055|9974.96|155126.76
2025-05-07|12.8748|2968.46|143087.63
2025-05-08|16.7292|1372.67|141078.84
2025-05-09|13.4055|2628.30|109065.43
2025-05-10|13.1996|5664.52|131188.45
2025-05-11|12.5614|6379.83|132254.86
2025-05-12|14.7756|8219.91|161013.60
2025-05-13|12.9720|1161.93|153016.50
2025-05-14|16.3634|5285.18|181295.33
2025-05-15|13.5074|4113.38|154592.72
2025-05-16|14.1227|7740.37|163250.79
2025-05-17|15.2592|9623.02|165654.32
2025-05-18|13.7811|1254.42|163242.47
2025-05-19|14.3915|3911.78|137722.65
2025-05-20|13.7616|5983.61|134993.36
2025-05-21|14.3991|4703.56|125090.09
2025-05-22|14.1483|4672.10|166428.29
2025-05-23|12.6897|2724.67|121898.77
2025-05-24|13.7001|8846.60|151111.88
2025-05-25|15.0678|5385.94|176559.54
2025-05-26|13.7264|2695.75|112029.26
2025-05-27|14.8592|7601.54|161065.56
2025-05-28|14.1382|4778.90|116841.84
2025-05-29|12.3997|4074.74|100730.90
2025-05-30|14.5600|8555.28|116928.78
2025-05-31|14.7834|5838.56|159541.46
2025-06-01|14.2487|8436.94|170087.34
2025-06-02|13.6735|2834.79|120383.78
2025-06-03|14.7391|7900.78|176654.35
2025-06-04|12.4370|9870.46|120119.16
2025-06-05|15.1948|6468.53|152592.91
2025-06-06|15.5702|5984.11|125809.14
2025-06-07|16.0755|6854.89|187906.27
2025-06-08|13.9695|1214.82|121147.93
2025-06-09|13.4029|7230.89|131290.04
2025-06-10|16.7751|3738.90|165284.63
2025-06-11|15.6547|9530.99|150327.93
2025-06-12|14.7848|1695.58|133545.04
