# NFT Dataset for azuki
# Generated: 2025-06-12 13:30:42
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|10.366485|702.22|109757.51
2025-03-15|7.456020|2111.54|65424.29
2025-03-16|11.399752|5085.50|141474.46
2025-03-17|7.858203|2724.68|78132.03
2025-03-18|7.834674|1320.89|89045.34
2025-03-19|9.781921|16287.47|116979.31
2025-03-20|10.082063|3832.36|123354.94
2025-03-21|11.161727|8597.84|124604.46
2025-03-22|13.460504|5656.97|134839.74
2025-03-23|12.792123|1201.34|168768.67
2025-03-24|12.283709|12603.28|120519.05
2025-03-25|12.401797|6092.24|110901.28
2025-03-26|8.643449|2524.89|95258.52
2025-03-27|10.902583|10154.75|161990.64
2025-03-28|12.074802|1626.06|106477.58
2025-03-29|13.624599|2755.69|112964.90
2025-03-30|13.412160|1260.18|165608.63
2025-03-31|12.637159|5214.21|129979.59
2025-04-01|12.665399|8901.91|148357.80
2025-04-02|12.852138|18694.77|142083.74
2025-04-03|12.388143|1130.17|174932.89
2025-04-04|10.829945|1389.22|155785.69
2025-04-05|11.516501|2749.40|129212.34
2025-04-06|8.707090|2165.23|83699.91
2025-04-07|12.792198|6560.67|141182.05
2025-04-08|11.833989|5205.84|110820.77
2025-04-09|9.144046|9246.34|137034.95
2025-04-10|7.966971|5859.34|103914.21
2025-04-11|8.460994|2363.35|87433.81
2025-04-12|9.013955|427.86|74888.94
2025-04-13|5.870232|8740.85|72586.25
2025-04-14|8.110007|1328.41|109991.28
2025-04-15|9.285944|1193.79|89714.08
2025-04-16|9.011362|3596.04|80705.62
2025-04-17|11.597648|2118.70|160627.76
2025-04-18|9.824326|1538.84|139599.72
2025-04-19|8.461712|3518.75|89685.51
2025-04-20|8.460494|910.59|69162.76
2025-04-21|8.214053|17152.19|79275.85
2025-04-22|10.884198|6944.43|104722.50
2025-04-23|10.871699|3448.88|145131.66
2025-04-24|10.239605|1764.43|149247.72
2025-04-25|10.859066|3813.63|123039.91
2025-04-26|10.341469|2019.18|102110.04
2025-04-27|12.859987|366.71|156180.72
2025-04-28|14.728879|5217.33|182868.92
2025-04-29|13.148270|17072.25|130185.56
2025-04-30|15.994635|2535.49|131794.50
2025-05-01|15.604434|6983.63|226964.62
2025-05-02|18.251684|3922.02|196833.01
2025-05-03|13.911008|3277.27|125044.06
2025-05-04|15.531619|1095.00|203584.18
2025-05-05|15.244150|17659.76|125480.14
2025-05-06|15.641797|10853.74|215929.16
2025-05-07|18.553149|3231.03|269233.28
2025-05-08|16.230828|1976.12|134659.05
2025-05-09|18.576111|800.14|259905.27
2025-05-10|14.841333|14485.45|162331.81
2025-05-11|17.818529|4856.18|242818.35
2025-05-12|16.468496|425.15|204878.11
2025-05-13|17.107463|1159.56|224323.07
2025-05-14|18.823006|109.95|228267.53
2025-05-15|19.688876|3570.59|285367.10
2025-05-16|18.052453|4636.49|244688.18
2025-05-17|14.707688|1886.09|215432.13
2025-05-18|17.390838|1340.95|216954.43
2025-05-19|15.188038|7895.17|204566.00
2025-05-20|12.623376|1258.01|130851.65
2025-05-21|14.414762|4606.77|176526.99
2025-05-22|13.785808|2245.55|137193.31
2025-05-23|17.968282|3143.51|199938.28
2025-05-24|12.885127|1857.75|117306.00
2025-05-25|13.783233|2048.12|195640.65
2025-05-26|15.162673|1814.21|142299.06
2025-05-27|13.745831|1538.26|131830.19
2025-05-28|15.210070|634.72|135657.96
2025-05-29|13.036885|7386.89|157996.56
2025-05-30|15.194421|2239.68|135059.62
2025-05-31|13.260280|5039.81|156413.79
2025-06-01|13.414531|4759.83|193962.52
2025-06-02|12.633889|1227.84|108738.19
2025-06-03|14.144196|3568.91|121575.39
2025-06-04|14.401799|5097.30|203324.55
2025-06-05|18.481693|2341.53|189368.03
2025-06-06|13.975230|2696.02|183560.30
2025-06-07|16.747659|4296.69|218698.79
2025-06-08|15.003925|3393.18|124624.67
2025-06-09|15.851090|8428.41|136063.18
2025-06-10|13.535841|629.41|161885.12
2025-06-11|17.757285|6516.17|231402.57
2025-06-12|17.059378|2159.33|196370.56
