# NFT Dataset for bored-ape-yacht-club
# Generated: 2025-06-12 13:26:00
# Total records: 91
# Format: DATE|FLOOR_PRICE|VOLUME|MARKET_CAP
#==================================================
2025-03-14|16.2634|5620.94|183078.49
2025-03-15|14.1406|7868.69|158692.02
2025-03-16|20.3448|7075.53|215002.46
2025-03-17|16.6265|3639.47|133418.83
2025-03-18|10.8617|4527.76|97211.53
2025-03-19|15.5133|6122.80|149190.87
2025-03-20|17.4204|3682.18|176480.94
2025-03-21|16.4347|6846.96|152124.69
2025-03-22|17.7505|3180.89|154825.12
2025-03-23|10.9385|1142.56|113478.70
2025-03-24|14.6836|8961.20|173957.01
2025-03-25|15.9135|7040.12|158005.05
2025-03-26|13.1707|1819.30|131998.13
2025-03-27|15.2088|5558.74|145541.92
2025-03-28|16.3660|4689.41|154817.30
2025-03-29|12.4116|4603.80|119428.99
2025-03-30|17.7851|9081.85|186907.83
2025-03-31|18.7582|8757.71|169665.72
2025-04-01|17.0457|3294.50|176126.41
2025-04-02|14.8582|7826.36|175323.25
2025-04-03|20.6595|1355.53|170043.47
2025-04-04|19.5116|3035.55|214845.90
2025-04-05|19.9078|3367.67|186049.73
2025-04-06|20.8918|4225.75|188710.91
2025-04-07|21.8798|7996.69|228581.56
2025-04-08|18.0133|8858.61|174163.35
2025-04-09|15.8628|3854.27|181042.47
2025-04-10|20.7460|8687.70|241847.82
2025-04-11|20.2546|8013.41|189098.45
2025-04-12|12.6452|7233.79|151597.52
2025-04-13|20.0070|7665.20|219485.66
2025-04-14|16.0344|2348.24|151423.66
2025-04-15|18.4765|1336.22|164775.13
2025-04-16|20.7863|4789.64|231103.11
2025-04-17|15.8296|6371.45|163632.33
2025-04-18|15.3960|8368.50|184534.00
2025-04-19|18.7908|9597.23|218837.76
2025-04-20|19.4456|7005.85|169943.07
2025-04-21|18.9320|2556.71|212135.58
2025-04-22|12.9338|7251.49|143844.27
2025-04-23|18.7253|6716.49|209124.69
2025-04-24|19.1230|5513.92|228484.70
2025-04-25|20.8981|9907.45|178568.28
2025-04-26|16.9865|7610.50|181222.76
2025-04-27|19.5244|4587.95|182458.91
2025-04-28|19.6394|4692.49|162018.73
2025-04-29|23.4756|7578.00|228358.82
2025-04-30|18.7616|5512.93|161415.92
2025-05-01|21.1401|7987.58|243713.87
2025-05-02|19.9847|4443.84|238103.50
2025-05-03|17.6899|6969.11|173493.47
2025-05-04|17.3890|9226.94|140458.32
2025-05-05|22.2536|5374.58|239231.17
2025-05-06|17.8048|8608.47|162732.09
2025-05-07|20.8444|4136.92|222338.05
2025-05-08|24.0152|8877.72|212564.22
2025-05-09|23.4428|1871.67|239488.59
2025-05-10|19.4330|3482.61|172760.31
2025-05-11|24.9530|2756.02|218034.61
2025-05-12|18.2606|9638.52|196393.55
2025-05-13|20.6695|1480.22|244585.69
2025-05-14|23.0083|5534.17|190282.48
2025-05-15|20.3853|4362.99|200208.93
2025-05-16|22.7373|2404.49|239622.60
2025-05-17|21.3669|5488.21|234690.14
2025-05-18|21.6763|7819.47|220037.70
2025-05-19|22.5473|4725.14|246004.92
2025-05-20|20.1372|2796.64|220358.14
2025-05-21|23.9419|5062.08|206115.91
2025-05-22|22.9036|6058.58|207203.37
2025-05-23|20.8571|5839.38|183306.86
2025-05-24|23.9896|3696.34|277428.20
2025-05-25|19.8982|1867.03|170272.68
2025-05-26|24.6355|3984.66|277544.20
2025-05-27|19.4570|6884.29|166771.61
2025-05-28|22.2695|7834.08|222288.99
2025-05-29|24.2193|9542.90|250335.05
2025-05-30|22.5157|5311.82|266698.41
2025-05-31|21.8457|3374.61|261929.55
2025-06-01|22.1768|1582.28|195782.13
2025-06-02|23.8714|7720.66|226539.81
2025-06-03|21.1235|1699.72|198524.80
2025-06-04|22.5212|6338.79|228750.00
2025-06-05|21.6508|1268.30|256506.47
2025-06-06|23.7597|3998.83|273946.94
2025-06-07|20.8205|7365.14|212882.63
2025-06-08|21.6218|5198.91|220636.60
2025-06-09|17.9705|9926.59|171356.70
2025-06-10|23.3346|9154.19|261011.53
2025-06-11|24.1326|5826.16|256129.58
2025-06-12|25.3440|7182.13|278572.23
