# NFT Dataset for bored-ape-yacht-club
# Generated: 2025-06-12 13:30:46
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|12.113985|1795.23|142789.01
2025-03-15|14.268240|892.96|187055.02
2025-03-16|15.675668|673.37|182890.69
2025-03-17|16.829249|4945.58|196136.70
2025-03-18|13.801137|5506.41|152339.08
2025-03-19|13.043555|2943.94|109476.91
2025-03-20|14.428821|1802.94|133785.94
2025-03-21|13.880696|7850.92|170984.54
2025-03-22|16.288860|10515.18|173823.26
2025-03-23|17.402024|1474.13|191614.84
2025-03-24|16.858669|3780.79|236061.86
2025-03-25|17.907111|5975.70|176254.02
2025-03-26|19.472279|3935.10|196760.53
2025-03-27|19.552332|1469.78|202943.15
2025-03-28|22.159636|6708.99|201422.99
2025-03-29|20.329243|1280.37|216026.56
2025-03-30|18.842734|4485.34|204237.18
2025-03-31|15.668483|31704.05|142799.71
2025-04-01|19.256657|3336.90|268581.64
2025-04-02|18.729552|7720.89|208185.71
2025-04-03|15.737384|625.05|147542.07
2025-04-04|20.281528|5040.58|253059.09
2025-04-05|18.764850|3321.92|208299.20
2025-04-06|16.231039|2324.34|140739.70
2025-04-07|16.897234|8417.41|223658.22
2025-04-08|14.165993|2930.90|184962.17
2025-04-09|12.407620|556.75|163458.56
2025-04-10|13.321267|5387.09|179816.80
2025-04-11|13.127046|5834.84|126281.05
2025-04-12|13.290781|4746.36|170139.48
2025-04-13|11.920869|1528.72|143799.18
2025-04-14|11.899026|2135.48|147298.76
2025-04-15|11.134570|14004.30|89818.58
2025-04-16|10.324502|1955.68|129166.33
2025-04-17|13.207934|1271.60|157990.98
2025-04-18|14.328235|6887.79|150157.68
2025-04-19|13.469223|3169.25|187671.58
2025-04-20|13.566312|315.77|126926.62
2025-04-21|15.555677|23963.20|212191.78
2025-04-22|17.522135|9543.45|158762.25
2025-04-23|15.720157|1468.46|164327.53
2025-04-24|15.451792|5007.59|168901.78
2025-04-25|18.960125|6377.98|239258.55
2025-04-26|14.639095|4565.36|136311.85
2025-04-27|21.474387|1427.69|209983.63
2025-04-28|20.499512|577.62|289064.32
2025-04-29|23.684713|2013.96|202690.96
2025-04-30|21.307940|1584.62|312622.43
2025-05-01|24.587599|424.90|332701.89
2025-05-02|26.957216|1106.98|273883.73
2025-05-03|22.647153|2238.70|287056.02
2025-05-04|21.167147|8132.77|259646.12
2025-05-05|26.589101|2732.48|287491.52
2025-05-06|26.611001|1908.32|360435.88
2025-05-07|22.047567|1617.48|195802.38
2025-05-08|26.457267|8585.15|239786.03
2025-05-09|26.027018|6024.93|247171.53
2025-05-10|30.584881|4477.28|364438.98
2025-05-11|29.429352|10808.38|362108.14
2025-05-12|25.158998|1607.64|222724.79
2025-05-13|28.020908|2416.11|331793.00
2025-05-14|28.099956|6516.28|315363.69
2025-05-15|26.257310|2339.61|269571.02
2025-05-16|24.506706|965.10|196073.19
2025-05-17|24.248186|4496.18|257485.74
2025-05-18|28.362043|7372.54|244431.05
2025-05-19|22.566489|1310.30|199963.36
2025-05-20|24.914487|2703.78|324349.42
2025-05-21|20.720097|1405.60|299030.78
2025-05-22|24.708990|477.73|242724.33
2025-05-23|22.937137|1018.32|195680.07
2025-05-24|23.624037|1764.65|317194.94
2025-05-25|18.761110|6556.59|183827.16
2025-05-26|23.532070|10733.22|351028.17
2025-05-27|20.501282|2823.81|284750.44
2025-05-28|23.387866|3426.11|263584.11
2025-05-29|18.864618|1259.51|244343.91
2025-05-30|20.244085|2217.60|276221.33
2025-05-31|19.217015|1186.56|232684.92
2025-06-01|20.695394|2051.59|234379.57
2025-06-02|19.460078|2350.15|159466.74
2025-06-03|22.149201|743.28|293051.89
2025-06-04|17.382219|1147.47|168170.66
2025-06-05|23.150242|2239.51|190394.24
2025-06-06|25.103776|4866.35|205128.90
2025-06-07|21.837475|7994.65|208085.34
2025-06-08|24.939333|2048.77|216215.42
2025-06-09|24.245343|2800.72|304104.52
2025-06-10|28.023603|3383.53|225192.22
2025-06-11|25.832658|3088.93|227235.33
2025-06-12|26.740481|15981.52|351258.65
