# NFT Dataset for cryptopunks
# Generated: 2025-06-12 13:25:56
# Total records: 91
# Format: DATE|FLOOR_PRICE|VOLUME|MARKET_CAP
#==================================================
2025-03-14|72.7968|3755.30|746195.17
2025-03-15|75.2394|4490.40|702988.33
2025-03-16|70.0631|5673.19|836114.37
2025-03-17|73.6831|5625.04|668607.35
2025-03-18|80.1569|9630.11|699418.66
2025-03-19|54.9635|4519.88|456314.83
2025-03-20|65.5471|5717.43|596881.59
2025-03-21|78.8239|6354.90|773362.34
2025-03-22|79.1698|3676.08|907184.02
2025-03-23|91.0560|5870.45|792701.84
2025-03-24|73.1951|3098.81|590152.75
2025-03-25|77.1302|4218.09|695986.07
2025-03-26|50.5935|2164.38|563522.52
2025-03-27|80.6512|2225.77|709401.34
2025-03-28|76.2166|5246.36|618065.02
2025-03-29|73.6805|8853.20|825749.33
2025-03-30|76.4610|6775.62|915420.07
2025-03-31|58.9099|1082.87|557036.22
2025-04-01|70.5407|9299.97|811102.03
2025-04-02|64.0508|1053.90|560466.73
2025-04-03|70.3533|3231.44|773873.83
2025-04-04|73.7152|2984.37|699871.02
2025-04-05|75.6622|7185.54|694373.37
2025-04-06|75.6398|2558.86|801192.47
2025-04-07|78.5921|4320.50|802854.75
2025-04-08|87.4900|9191.27|872343.39
2025-04-09|80.4725|6662.32|951987.90
2025-04-10|72.9946|2966.45|636853.03
2025-04-11|82.7315|2923.21|897977.49
2025-04-12|81.0615|7115.72|828141.86
2025-04-13|66.5142|2863.03|668099.43
2025-04-14|76.6971|3497.36|676475.95
2025-04-15|62.5651|7305.07|638270.14
2025-04-16|89.8509|1135.59|732928.95
2025-04-17|87.9441|2382.26|705933.85
2025-04-18|81.3894|7454.61|743960.00
2025-04-19|89.9794|8692.20|860032.89
2025-04-20|73.0036|8510.02|811768.68
2025-04-21|77.2568|7533.22|752507.63
2025-04-22|73.6730|9746.81|718689.72
2025-04-23|75.8126|5926.76|707721.08
2025-04-24|92.5421|7450.84|780258.10
2025-04-25|88.5492|4846.45|874372.87
2025-04-26|82.8831|3023.47|756332.53
2025-04-27|74.3779|5942.13|599273.97
2025-04-28|82.5748|6170.00|878613.13
2025-04-29|96.2730|9617.00|1012174.04
2025-04-30|85.8579|6970.23|978754.05
2025-05-01|89.3252|3248.90|1063127.03
2025-05-02|75.5995|7069.09|866982.32
2025-05-03|80.1398|5905.69|704771.05
2025-05-04|88.2156|6752.79|771984.75
2025-05-05|86.6132|4983.07|707414.88
2025-05-06|87.0475|6870.22|815333.33
2025-05-07|87.8460|9223.13|732622.94
2025-05-08|72.5174|9718.46|832503.33
2025-05-09|70.5001|9408.60|593279.29
2025-05-10|96.3987|6143.34|830752.60
2025-05-11|74.5179|8279.67|651627.65
2025-05-12|65.0216|2153.87|523698.73
2025-05-13|91.6149|3413.74|1031261.95
2025-05-14|92.3776|6558.78|791316.51
2025-05-15|82.7180|2806.95|940841.80
2025-05-16|78.3707|6730.89|697085.92
2025-05-17|102.6956|7306.24|843655.58
2025-05-18|78.0356|7954.09|932629.91
2025-05-19|98.5952|8758.16|1006408.11
2025-05-20|70.4651|8365.54|756746.91
2025-05-21|94.3654|6675.75|897217.81
2025-05-22|84.2230|7433.13|681403.41
2025-05-23|101.4093|2430.92|826410.31
2025-05-24|98.8748|4524.66|1014575.48
2025-05-25|95.0310|9103.43|852477.41
2025-05-26|85.5931|5685.30|936330.01
2025-05-27|95.7453|8579.36|804408.89
2025-05-28|92.7623|5480.33|756883.47
2025-05-29|90.9627|4411.83|940617.97
2025-05-30|86.0258|3742.96|1024424.29
2025-05-31|80.9922|7825.51|690828.15
2025-06-01|98.4178|4978.67|1104645.84
2025-06-02|91.5176|6930.74|821172.94
2025-06-03|75.5270|3688.95|642999.06
2025-06-04|87.6988|8667.80|929925.32
2025-06-05|78.5049|3530.85|850460.82
2025-06-06|107.8437|6875.53|1078329.14
2025-06-07|82.5653|2966.50|966254.89
2025-06-08|95.7517|6763.06|907227.73
2025-06-09|87.4267|1626.26|724165.16
2025-06-10|76.7953|8400.50|762171.20
2025-06-11|75.0918|3923.29|804223.22
2025-06-12|81.4302|2749.26|782384.92
