# NFT Dataset for cryptopunks
# Generated: 2025-06-12 13:30:38
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|61.475425|2259.57|700049.72
2025-03-15|64.991630|6363.31|567779.19
2025-03-16|72.549325|3895.11|820069.16
2025-03-17|66.460863|11784.39|948019.77
2025-03-18|89.060785|771.23|925698.75
2025-03-19|66.063509|165.15|651782.23
2025-03-20|63.052009|4293.04|560462.20
2025-03-21|69.180903|1462.36|675170.63
2025-03-22|71.554696|739.72|848025.38
2025-03-23|70.994331|1109.41|627255.55
2025-03-24|90.720048|1831.65|751828.85
2025-03-25|82.129731|2195.06|782102.80
2025-03-26|83.103798|3040.99|1100908.17
2025-03-27|83.815830|1335.78|887760.72
2025-03-28|63.960285|570.06|583633.83
2025-03-29|67.242810|4816.67|549267.17
2025-03-30|69.183236|3245.19|951052.63
2025-03-31|77.153528|1761.41|918553.40
2025-04-01|81.062921|1508.71|889588.76
2025-04-02|69.892961|1261.38|855869.99
2025-04-03|71.839466|2113.78|904421.04
2025-04-04|73.510685|3569.92|722278.78
2025-04-05|66.536047|2319.64|763588.61
2025-04-06|62.616203|1760.55|739209.64
2025-04-07|76.240441|3715.24|875000.56
2025-04-08|72.933802|5870.55|961167.79
2025-04-09|66.692747|891.81|612406.87
2025-04-10|64.639142|10655.93|658535.18
2025-04-11|63.887622|1645.96|779625.55
2025-04-12|66.869481|5881.06|721565.75
2025-04-13|79.207368|14081.71|894644.17
2025-04-14|69.098621|1179.86|727811.10
2025-04-15|68.987653|1096.02|803299.59
2025-04-16|80.839355|2951.89|937094.54
2025-04-17|67.893560|3893.03|699496.11
2025-04-18|69.006615|3647.12|1016497.87
2025-04-19|84.165091|1695.56|974072.30
2025-04-20|69.429588|1661.20|566584.41
2025-04-21|76.433023|10804.39|831291.13
2025-04-22|73.622645|1224.97|965354.44
2025-04-23|71.139599|4083.75|934821.83
2025-04-24|73.539118|865.31|625305.95
2025-04-25|67.601533|12728.97|713248.94
2025-04-26|82.090918|5961.45|887102.05
2025-04-27|74.829485|455.53|966111.62
2025-04-28|91.570595|602.84|853788.06
2025-04-29|78.750915|1896.38|795876.96
2025-04-30|97.436454|2944.49|1049998.67
2025-05-01|69.714983|1071.09|810188.20
2025-05-02|95.899963|2659.73|985419.29
2025-05-03|85.035927|5623.51|701699.48
2025-05-04|79.230387|937.18|1146341.88
2025-05-05|80.652792|26817.37|917579.07
2025-05-06|86.932246|3181.55|1103105.60
2025-05-07|74.691471|1944.83|787665.25
2025-05-08|89.009108|3549.03|1253046.17
2025-05-09|89.761426|585.24|1318202.69
2025-05-10|89.823914|3544.72|1056665.35
2025-05-11|95.647892|13254.07|1335621.34
2025-05-12|89.697255|1907.89|801007.27
2025-05-13|98.960734|3274.93|973940.19
2025-05-14|94.805681|1607.92|1188345.29
2025-05-15|88.694346|2012.11|1132453.08
2025-05-16|90.063676|9150.50|1275350.75
2025-05-17|88.904763|5201.27|1100748.23
2025-05-18|90.851775|7888.04|873808.24
2025-05-19|102.434267|2323.87|1009116.15
2025-05-20|89.538509|517.98|1145664.51
2025-05-21|81.064357|9454.94|985081.98
2025-05-22|85.965729|987.17|754416.57
2025-05-23|72.001901|1043.64|730387.74
2025-05-24|78.464546|707.52|909285.52
2025-05-25|72.639988|3713.17|844808.07
2025-05-26|75.738264|1989.40|714359.67
2025-05-27|72.794891|2895.55|735806.58
2025-05-28|89.723860|2087.62|1191706.92
2025-05-29|87.064307|3940.91|1143088.90
2025-05-30|90.434334|2390.22|1133692.42
2025-05-31|89.002455|982.39|1289456.43
2025-06-01|77.182134|5170.99|1112873.06
2025-06-02|106.726658|17730.16|1467974.76
2025-06-03|82.334039|4156.12|896761.74
2025-06-04|76.624033|3288.04|1059094.55
2025-06-05|91.499917|3835.21|1139111.66
2025-06-06|85.455096|2855.19|743719.91
2025-06-07|83.856009|7608.80|695662.04
2025-06-08|85.204309|8859.72|1197740.98
2025-06-09|89.061027|2213.80|895516.13
2025-06-10|95.437536|7274.41|1321949.09
2025-06-11|88.778932|1955.91|985207.20
2025-06-12|88.181429|3989.82|1135362.71
