# NFT Dataset for mutant-ape-yacht-club
# Generated: 2025-06-12 13:30:50
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|5.613807|1487.47|49924.90
2025-03-15|6.098549|1737.46|68911.89
2025-03-16|7.005082|9094.97|71608.17
2025-03-17|6.990319|22123.27|64642.05
2025-03-18|7.279162|10284.57|60757.60
2025-03-19|7.401604|1031.27|72768.11
2025-03-20|6.899046|5088.22|89565.37
2025-03-21|4.917926|820.23|43487.17
2025-03-22|7.686393|1402.89|110681.51
2025-03-23|10.106646|3843.02|82489.36
2025-03-24|8.880314|3701.15|93835.71
2025-03-25|10.118811|5299.76|95055.36
2025-03-26|12.097936|1099.15|110372.14
2025-03-27|6.530095|1428.15|85564.32
2025-03-28|9.824203|6069.71|91596.33
2025-03-29|10.164867|8994.37|120940.33
2025-03-30|7.458438|3612.49|71209.31
2025-03-31|7.946370|1106.16|111589.42
2025-04-01|9.340674|6655.93|137763.04
2025-04-02|6.063768|3314.50|51622.08
2025-04-03|8.597571|3694.03|91686.38
2025-04-04|9.980805|4782.88|82611.16
2025-04-05|6.414801|3615.11|70640.36
2025-04-06|5.395885|424.69|57874.56
2025-04-07|8.114811|2449.52|111928.70
2025-04-08|8.210843|2789.34|75050.20
2025-04-09|6.564168|2349.48|88366.70
2025-04-10|6.441667|865.54|80287.77
2025-04-11|7.482894|1061.71|103300.21
2025-04-12|5.066325|1585.94|69659.92
2025-04-13|7.411920|1658.62|77489.63
2025-04-14|4.286813|14431.97|34597.31
2025-04-15|7.736213|2432.73|84645.06
2025-04-16|5.324920|3723.52|77398.97
2025-04-17|4.617049|2639.44|38199.04
2025-04-18|5.862646|979.24|65227.81
2025-04-19|6.966955|738.61|83124.43
2025-04-20|6.269426|868.16|78198.65
2025-04-21|6.862856|3416.23|82904.87
2025-04-22|5.396249|12337.71|71305.03
2025-04-23|5.947881|1525.25|81656.92
2025-04-24|7.715136|2266.81|68246.08
2025-04-25|10.479816|2204.95|88446.60
2025-04-26|8.677018|27898.79|105639.29
2025-04-27|9.405498|3380.30|126715.44
2025-04-28|9.180178|953.32|97196.25
2025-04-29|10.137275|1099.90|147954.22
2025-04-30|10.342985|4127.28|86915.89
2025-05-01|11.575766|237.36|131894.46
2025-05-02|12.032022|1721.06|143226.88
2025-05-03|10.965485|1508.96|142244.70
2025-05-04|12.927882|7863.99|185418.77
2025-05-05|12.874794|3711.93|110538.18
2025-05-06|13.492259|1545.67|117030.66
2025-05-07|12.895736|1022.50|115953.03
2025-05-08|14.132037|1679.90|113825.26
2025-05-09|14.068077|4235.37|188895.03
2025-05-10|13.984512|1594.93|200470.06
2025-05-11|13.857988|3351.29|144676.04
2025-05-12|13.308080|2082.41|151229.60
2025-05-13|13.333701|8559.75|149260.22
2025-05-14|14.721605|4658.34|203061.12
2025-05-15|13.726086|1350.81|204614.64
2025-05-16|15.316332|4014.26|161793.10
2025-05-17|13.434875|3227.88|150887.00
2025-05-18|11.994148|1604.30|174128.65
2025-05-19|12.416703|3029.48|160677.57
2025-05-20|12.560186|3038.86|173352.73
2025-05-21|13.178840|6042.69|162833.40
2025-05-22|8.993673|1284.68|80149.62
2025-05-23|12.740334|10732.54|136698.84
2025-05-24|11.737560|1575.29|150789.28
2025-05-25|11.484899|26488.00|95839.48
2025-05-26|12.482551|4692.46|124011.48
2025-05-27|12.290391|1005.24|140983.65
2025-05-28|10.675077|1642.19|101028.11
2025-05-29|10.204865|24187.52|88093.52
2025-05-30|10.373982|6648.43|103968.51
2025-05-31|9.934884|2014.72|132556.03
2025-06-01|11.343176|3708.50|91093.63
2025-06-02|12.082242|1281.48|165706.39
2025-06-03|11.057896|5663.06|130399.01
2025-06-04|12.767631|21117.44|128407.53
2025-06-05|12.349549|3297.43|147162.70
2025-06-06|11.645078|1804.83|133004.88
2025-06-07|13.717044|3033.01|127472.71
2025-06-08|13.374397|1217.84|200365.16
2025-06-09|12.094768|2110.45|135841.76
2025-06-10|12.977365|1407.72|135025.97
2025-06-11|13.910000|1076.77|126176.48
2025-06-12|14.106512|12461.34|156452.28
