# NFT Dataset for otherdeed-for-otherdeeds
# Generated: 2025-06-12 13:30:53
# Source: CoinGecko API
# Total records: 91
# Format: DATE|FLOOR_PRICE_USD|VOLUME_USD|MARKET_CAP_USD
#============================================================
2025-03-14|0.923048|6995.55|11065.02
2025-03-15|1.138207|6774.79|9448.94
2025-03-16|1.171084|642.29|14518.02
2025-03-17|0.921913|3818.58|11216.63
2025-03-18|1.855336|1800.18|19207.92
2025-03-19|1.663979|3401.34|21731.79
2025-03-20|1.246630|18293.23|13663.29
2025-03-21|2.151130|5862.82|21464.57
2025-03-22|1.893679|572.87|21293.20
2025-03-23|1.726132|7295.55|21964.12
2025-03-24|1.899397|3640.08|23768.45
2025-03-25|1.757052|3222.97|14996.54
2025-03-26|2.055998|7813.15|21810.86
2025-03-27|2.107359|12867.85|29452.85
2025-03-28|1.933636|3568.94|23160.09
2025-03-29|2.077452|1109.60|24298.82
2025-03-30|1.730322|8516.27|14428.67
2025-03-31|1.592036|5683.72|21785.71
2025-04-01|1.590130|5038.74|16241.53
2025-04-02|1.885169|1848.51|15502.26
2025-04-03|1.768093|21379.89|19185.26
2025-04-04|1.267998|12488.63|15213.50
2025-04-05|1.428663|9208.76|13909.29
2025-04-06|1.176685|763.29|16806.59
2025-04-07|1.770248|817.73|22921.23
2025-04-08|1.571328|1305.97|22345.22
2025-04-09|1.161204|41921.49|14008.82
2025-04-10|1.131291|1554.68|13135.89
2025-04-11|1.341271|2815.63|13285.83
2025-04-12|1.578139|344.25|17977.41
2025-04-13|1.133281|1905.78|13853.06
2025-04-14|0.893882|1491.99|9738.66
2025-04-15|1.274161|2224.55|12988.37
2025-04-16|1.176258|2612.39|11223.28
2025-04-17|1.010980|2319.65|12306.70
2025-04-18|1.301407|13696.47|12551.39
2025-04-19|1.288414|6742.29|11836.16
2025-04-20|1.137134|4872.59|10246.70
2025-04-21|1.507457|2653.67|18961.67
2025-04-22|1.228064|654.14|18264.97
2025-04-23|1.761810|11917.13|20754.24
2025-04-24|1.825280|4799.88|16300.59
2025-04-25|1.644827|9192.21|13464.81
2025-04-26|1.739686|9501.59|20420.48
2025-04-27|1.906047|11272.07|21545.92
2025-04-28|2.357325|5159.49|31761.69
2025-04-29|2.309931|774.70|24297.66
2025-04-30|1.869007|706.20|21548.98
2025-05-01|2.483332|7950.50|34884.73
2025-05-02|2.811349|2298.13|30257.67
2025-05-03|2.660318|3506.15|34120.94
2025-05-04|2.249807|5727.15|28570.42
2025-05-05|2.489861|553.47|25578.08
2025-05-06|2.737317|8786.47|32711.72
2025-05-07|3.112242|662.63|25654.85
2025-05-08|3.070862|1704.19|32706.47
2025-05-09|2.990587|2781.52|28430.49
2025-05-10|2.723763|2891.40|31678.85
2025-05-11|3.102689|1115.23|28945.68
2025-05-12|3.199013|10806.08|27856.84
2025-05-13|2.829521|4449.04|30884.07
2025-05-14|2.925276|5258.46|28144.34
2025-05-15|2.462961|930.03|35783.16
2025-05-16|2.525043|10115.10|26300.79
2025-05-17|2.850801|6455.89|36458.99
2025-05-18|2.261136|1167.16|20733.21
2025-05-19|2.375666|1519.43|22168.65
2025-05-20|2.267158|2530.81|26937.18
2025-05-21|2.660335|5259.90|37252.82
2025-05-22|2.707555|2041.98|34525.49
2025-05-23|2.095218|1314.68|18115.27
2025-05-24|2.152730|82546.32|30084.22
2025-05-25|2.368536|4114.25|30982.75
2025-05-26|1.913160|1008.84|25625.97
2025-05-27|1.968470|4675.47|20017.54
2025-05-28|2.213844|1306.63|18407.78
2025-05-29|2.092330|2406.87|28627.61
2025-05-30|1.957259|384.95|18908.14
2025-05-31|1.651495|8457.01|19362.18
2025-06-01|2.400898|1716.21|26365.61
2025-06-02|1.981173|3925.91|23868.65
2025-06-03|2.729824|2719.91|33202.11
2025-06-04|2.313681|1462.14|29974.09
2025-06-05|2.549605|1807.30|34900.50
2025-06-06|2.792299|3551.86|39929.92
2025-06-07|2.611868|1775.29|25868.72
2025-06-08|2.939323|5128.85|33208.81
2025-06-09|2.682530|1961.15|24118.00
2025-06-10|2.531557|2553.34|34740.86
2025-06-11|2.816738|4821.45|29023.34
2025-06-12|2.834689|11920.08|34478.49
